Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C,25,NYK,8,0,4.3,0.8,1.8,0.429,0,0.1,0,0.8,1.6,0.462,0.429,0.3,0.5,0.5,0.4,0.8,1.1,0,0.1,0,0.1,0.3,1.8
2,Steven Adams,C,31,HOU,7,0,22.1,1.7,2.9,0.6,0,0,,1.7,2.9,0.6,0.6,2.3,4.3,0.533,3.3,3.3,6.6,0.6,0.4,1.1,0.7,1,5.7
3,Bam Adebayo,C,27,MIA,4,4,38.3,7,16,0.438,1.8,5.3,0.333,5.3,10.8,0.488,0.492,1.8,2.8,0.636,4,7,11,4.3,1,0.3,3,2.3,17.5
4,Santi Aldama,PF,24,MEM,4,1,30.5,5.3,11,0.477,2.5,6,0.417,2.8,5,0.55,0.591,0,0,,0.5,5.5,6,1.8,0,0.3,1.3,1.8,13
5,Nickeil Alexander-Walker,SG,26,MIN,15,0,20.7,2.9,7.5,0.389,1.5,4.2,0.349,1.5,3.3,0.44,0.487,1,1.1,0.882,0.5,1.3,1.8,2.3,0.4,0.3,1.5,1.6,8.3
6,Jarrett Allen,C,26,CLE,9,9,29,4.9,6.8,0.721,0,0,,4.9,6.8,0.721,0.721,3.7,3.9,0.943,2.3,6.1,8.4,1.3,1.4,0.9,1.9,1.7,13.4
7,Kyle Anderson,SF,31,MIA,2,0,7,0,1,0,0,0,,0,1,0,0,0,0,,0,0.5,0.5,0.5,0,0,0.5,0.5,0
8,Giannis Antetokounmpo,PF,30,MIL,5,5,37.6,12,19.8,0.606,0.2,1,0.2,11.8,18.8,0.628,0.611,8.8,12.6,0.698,3.8,11.6,15.4,6.6,1,1,4.6,2.4,33
9,Cole Anthony,PG,24,ORL,5,0,10.2,0.8,2.8,0.286,0,1.2,0,0.8,1.6,0.5,0.286,0.6,0.8,0.75,0.6,0.8,1.4,1.2,0,0.2,1.8,2.4,2.2
10,OG Anunoby,PF,27,NYK,18,18,39.2,5.7,13.7,0.417,2.3,6.7,0.339,3.4,7,0.492,0.5,2.6,3.2,0.81,1.3,3.3,4.6,1.3,2,1.2,1.7,2.7,16.3
11,Marvin Bagley III,PF,25,MEM,2,0,14,4,4.5,0.889,0.5,0.5,1,3.5,4,0.875,0.944,0,0,,1,2,3,0,1,0.5,1.5,1.5,8.5
12,Paolo Banchero,PF,22,ORL,5,5,39.4,10.8,24.8,0.435,2.4,5.4,0.444,8.4,19.4,0.433,0.484,5.4,8.2,0.659,2.4,6,8.4,4.2,0.6,0.8,3,3.6,29.4
13,Desmond Bane,SG,26,MEM,4,4,34.8,5,15.8,0.317,1.8,8,0.219,3.3,7.8,0.419,0.373,3.5,3.8,0.933,1.3,5.5,6.8,3.3,0.8,0.5,3.8,2.3,15.3
14,Nicolas Batum,PF,36,LAC,7,0,24.6,1.9,4.7,0.394,1.9,4.7,0.394,0,0,,0.591,0,0,,0.6,3.3,3.9,2,0.9,1.7,0.4,1.9,5.6
